Country,Year ending,Activities,Value
Australia,YEDec 2003,A bar or nightclub,94618
Australia,YEDec 2001,A bar or nightclub,53170
Australia,YEDec 2002,A bar or nightclub,45237
Canada,YEDec 2003,A bar or nightclub,9002
Australia,YEDec 1997,A bar or nightclub,44233
Australia,YEDec 2000,A bar or nightclub,47208
Canada,YEDec 2001,A bar or nightclub,5583
Canada,YEDec 2002,A bar or nightclub,4487
Australia,YEDec 1998,A bar or nightclub,58631
Australia,YEDec 1999,A bar or nightclub,40863
Australia,YEDec 2007,A bar or nightclub,113449
Australia,YEDec 2009,A bar or nightclub,134683
Australia,YEDec 2011,A bar or nightclub,184635
Australia,YEDec 2012,A bar or nightclub,171082
Canada,YEDec 1997,A bar or nightclub,3952
Canada,YEDec 1999,A bar or nightclub,2775
Canada,YEDec 2000,A bar or nightclub,5164
Canada,YEDec 2011,A bar or nightclub,8189
Australia,YEDec 2006,A bar or nightclub,142953
Australia,YEDec 2008,A bar or nightclub,109370
Australia,YEDec 2010,A bar or nightclub,174011
Australia,YEDec 2015,A bar or nightclub,392230
Australia,YEJun 1998,A bar or nightclub,61503
Australia,YEJun 1999,A bar or nightclub,40525
Australia,YEJun 2000,A bar or nightclub,45630
Australia,YEJun 2001,A bar or nightclub,55613
Australia,YEJun 2002,A bar or nightclub,44782
Australia,YEJun 2005,A bar or nightclub,118314
Australia,YEJun 2006,A bar or nightclub,141425
Australia,YEJun 2007,A bar or nightclub,118745
Australia,YEJun 2008,A bar or nightclub,122473
Canada,YEDec 1998,A bar or nightclub,4420
Canada,YEDec 2007,A bar or nightclub,6051
Canada,YEDec 2008,A bar or nightclub,9569
Canada,YEDec 2009,A bar or nightclub,7715
Canada,YEDec 2010,A bar or nightclub,7590
Canada,YEDec 2012,A bar or nightclub,6504
Australia,YEDec 2004,A bar or nightclub,139282
Australia,YEDec 2005,A bar or nightclub,127591
Australia,YEDec 2013,A bar or nightclub,259091
Australia,YEDec 2014,A bar or nightclub,371167
Australia,YEJun 2003,A bar or nightclub,71257
Australia,YEJun 2004,A bar or nightclub,126945
Australia,YEJun 2009,A bar or nightclub,114886
Australia,YEJun 2010,A bar or nightclub,156659
Australia,YEJun 2011,A bar or nightclub,169017
Australia,YEJun 2012,A bar or nightclub,191431
Australia,YEJun 2013,A bar or nightclub,172900
